color,point_index,radius,school_id,starting_x_position,starting_y_position,ending_x_position,ending_y_position,line_x_position,line_y_position
#64bbe3,9,4,sch1,65,328,415,274,-30.8,450
#64bbe3,15,4,sch1,12,357,362,33,41.2,450
#64bbe3,31,4,sch1,10,376,360,274,24.7,450
#64bbe3,34,4,sch1,61,342,411,313,81.2,450
#64bbe3,44,4,sch1,71,312,421,71,106.5,450
#64bbe3,53,4,sch1,25,400,375,192,-3.200000000000003,450
#64bbe3,54,4,sch1,100,311,450,116,88.9,450
#64bbe3,59,4,sch1,42,316,392,153,11.700000000000003,450
#64bbe3,64,4,sch1,8,381,358,231,70.8,450
#64bbe3,73,4,sch1,65,374,415,13,132.7,450
#64bbe3,74,4,sch1,77,391,427,307,155.1,450
#64bbe3,77,4,sch1,62,377,412,313,169.2,450
#64bbe3,82,4,sch1,96,343,446,218,35.7,450
#64bbe3,84,4,sch1,84,321,434,299,138.7,450
#64bbe3,85,4,sch1,77,323,427,218,103.3,450
#64bbe3,86,4,sch1,77,362,427,321,152.4,450
#64bbe3,90,4,sch1,56,353,406,135,209.2,450
#64bbe3,95,4,sch1,1,337,351,321,223.4,450
#64bbe3,99,4,sch1,5,304,355,241,234.1,450
#64bbe3,101,4,sch1,19,317,369,68,289.2,450
#64bbe3,105,4,sch1,94,351,444,47,243.3,450
#64bbe3,107,4,sch1,82,365,432,157,196.3,450
#64bbe3,112,4,sch1,23,382,373,316,143.4,450
#64bbe3,116,4,sch1,36,331,386,211,250.4,450
#64bbe3,131,4,sch1,97,368,447,31,318.9,450
#64bbe3,132,4,sch1,84,315,434,302,310.1,450
#64bbe3,143,4,sch1,24,387,374,335,287.6,450
#64bbe3,145,4,sch1,57,309,407,274,269.2,450
#64bbe3,147,4,sch1,87,329,437,143,321.6,450
#64bbe3,162,4,sch1,91,345,441,309,328.0,450
#64bbe3,165,4,sch1,41,399,391,192,244.2,450
#64bbe3,170,4,sch1,14,312,364,88,375.2,450
#64bbe3,175,4,sch1,6,389,356,4,390.9,450
#64bbe3,176,4,sch1,79,367,429,242,373.7,450
#64bbe3,177,4,sch1,17,393,367,232,350.7,450
#64bbe3,181,4,sch1,40,320,390,232,432.5,450
#64bbe3,185,4,sch1,57,389,407,235,392.7,450
#64bbe3,189,4,sch1,82,338,432,135,383.9,450
#64bbe3,194,4,sch1,39,380,389,295,368.5,450
#64bbe3,198,4,sch1,22,382,372,63,423.8,450
#64bbe3,203,4,sch1,92,337,442,103,458.7,450
#64bbe3,205,4,sch1,3,310,353,46,417.3,450
#64bbe3,206,4,sch1,23,387,373,260,327.3,450
